County Name,People Vaccinated with at least One Dose,People Fully Vaccinated,Median Household Income,Population,% of Population in Poverty,,
Terrell, K, K,43 K,1 K,14,,
Terry,6 K,5 K,47 K,12 K,18.5,,
Throckmorton,1 K,1 K,47 K,1 K,13.5,,
Titus,16 K,14 K,53 K,31 K,14.3,,
Tom Green,63 K,57 K,56 K,120 K,12,,
Travis,"1,053 K",906 K,83 K,"1,290 K",10.2,,
Trinity,7 K,6 K,48 K,14 K,16.8,,
Tyler,9 K,8 K,49 K,20 K,18.9,,
Upshur,17 K,15 K,58 K,41 K,12.6,,
Upton,2 K,2 K,60 K,3 K,12.1,,
Uvalde,17 K,15 K,49 K,25 K,19,,
Val Verde,48 K,36 K,54 K,48 K,15.6,,
Van Zandt,24 K,22 K,58 K,60 K,12.9,,
Victoria,51 K,46 K,54 K,91 K,16.5,,
Walker,41 K,36 K,43 K,76 K,18,,
Waller,28 K,24 K,69 K,57 K,12.6,,
Ward,5 K,4 K,57 K,12 K,9.8,,
Washington,21 K,19 K,63 K,36 K,11.7,,
Webb,507 K,306 K,57 K,267 K,19.9,,
Wharton,26 K,22 K,56 K,42 K,13.8,,
Wheeler,2 K,2 K,50 K,5 K,13.5,,
Wichita,69 K,61 K,55 K,129 K,16,,
Wilbarger,7 K,7 K,52 K,13 K,14.6,,
Willacy,18 K,15 K,40 K,20 K,24.7,,
Williamson,469 K,412 K,92 K,609 K,5.6,,
Wilson,30 K,27 K,75 K,50 K,9.4,,
Winkler,4 K,3 K,78 K,8 K,11.8,,
Wise,31 K,28 K,72 K,69 K,10,,
Wood,22 K,20 K,62 K,45 K,13.5,,
Yoakum,4 K,4 K,67 K,8 K,10.8,,
Young,8 K,8 K,55 K,18 K,14.8,,
Zapata,10 K,9 K,40 K,14 K,24.6,,
Zavala,7 K,6 K,35 K,10 K,27.2,,
,632 K,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
